Flags,Block,Column,Row,Name,ID,RefNumber,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,1_3,1_4,1_5,1_6,1_7,1_8
0,1,40,1,222549613_EZ005526.1_96-233,CUST_33_PI426266274,9348,1,1,0,1,0,0,0,2,0,0,1,0,1,1,15,-20,0,5,1,0,0,0
0,1,41,1,288950311_GQ501382.1_22-450,CUST_280_PI426232940,9184,1,32,65,51,41,40,107,28,6,14,2,3,2,17,28,20,9,3,16,1,0,3
0,1,42,1,222783048_EZ011717.1_15-134,CUST_608_PI426227498,9020,1,2,1,0,0,1,0,0,1,1,1,1,1,1,1,10,0,2,0,0,0,0
0,1,43,1,222783123_EZ011792.1_480-1225,CUST_172_PI426264540,8856,1,0,1,0,1,1,1,0,0,2,1,1,0,3,6,1,2,3,0,0,0,-1
0,1,44,1,222782598_EZ011269.1_360-1739,CUST_160_PI426227486,8692,1,4,0,0,1,1,1,0,0,1,1,2,1,1,1,1,3,1,0,0,1,0
0,1,45,1,222796057_EZ024445.1_98-358,CUST_441_PI426227486,8528,0,0,1,0,1,0,0,0,1,1,1,0,0,5,2,1,1,8,0,0,0,-1
0,1,46,1,NA,NA,8364,1,1,0,-1,0,-1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,-1
0,1,47,1,NA,NA,8200,-1,-2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-1,0,-1
0,1,48,1,MGID_264_128_162,CUST_295_PI426266615,8036,3,-1,1,1,3,13,6,1,1,2,2,6,2,4,1,2,2,2,2,-1,0,-1
0,1,49,1,222781442_EZ010113.1_124-636,CUST_60_PI426226825,7872,0,-1,1,0,1,9,1,0,0,1,1,2,0,1,13,3,0,0,0,0,-1,-1
0,1,50,1,222784389_EZ013047.1_302-1279,CUST_763_PI426227498,7708,-1,1,0,0,0,0,0,0,1,1,0,0,1,2,3,3,1,1,-1,1,0,0
0,1,51,1,222545015_EZ001205.1_1125-1418,CUST_39_PI426226825,7544,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,0,-1,0,0
0,1,52,1,35210443_AB106684.1_32-901,CUST_7_PI426232940,7380,0,21,2,11,39,14,26,5,11,12,12,1,1,1,4,38,5,24,9,2,0,10
0,1,53,1,AB118425.2,CUST_9_PI426226915,7216,310,169,414,714,396,641,356,646,537,555,281,334,193,504,596,740,197,277,157,131,13,124
0,1,54,1,NA,NA,7052,0,0,0,0,-1,0,0,-1,1,0,1,0,-1,0,-1,1,1,0,1,0,0,-1
0,1,55,1,222785274_EZ013908.1_61-1240,CUST_312_PI426227486,6888,0,1,1,0,-1,1,1,0,0,0,2,0,0,4,1,24,2,2,0,0,0,0
0,1,56,1,EU179715.1,CUST_258_PI426232937,6724,0,5,2,10,4,1,3,2,3,1,3,3,0,3,1,8,7,39,1,1,0,1
0,1,57,1,222785014_EZ013648.1_49-339,CUST_30_PI426266278,6560,0,-1,1,0,0,1,1,-1,1,-1,1,1,0,0,0,1,2,1,1,0,0,0
0,1,58,1,222781484_EZ010155.1_143-853,CUST_492_PI426227498,6396,0,3,0,0,1,-1,0,0,1,0,5,0,0,1,1,2,1,2,0,0,1,0
0,1,59,1,222789739_EZ018171.1_145-285,CUST_384_PI426227486,6232,2,4,1,2,1,3,1,1,5,2,1,2,1,1,3,0,10,0,0,1,0,-1
0,1,60,1,MGID_293_110_145,CUST_301_PI426266615,6068,233,446,589,466,313,652,337,249,317,953,217,324,537,387,723,327,295,218,111,107,8,238
0,1,61,1,222783542_EZ012205.1_103-459,CUST_94_PI426266349,5904,0,1,1,0,0,0,0,0,4,-1,2,1,1,0,0,2,1,5,0,0,0,0
0,1,62,1,168989227_DQ482988.1_284-421,CUST_10_PI426232931,5740,1,0,49,1,44,25,51,1,0,1,1,8,9,5,21,1,3,0,24,0,1,0
0,1,63,1,222783456_EZ012119.1_102-389,CUST_17_PI426264530,5576,1,2,1,-1,0,1,0,-1,2,-1,1,0,0,0,0,1,1,1,1,0,2,0
0,1,64,1,222788984_EZ017416.1_118-997,CUST_191_PI426264540,5412,1,2,1,1,0,0,0,0,11,2,2,1,0,1,0,2,3,3,2,1,1,0
0,1,65,1,222787912_EZ016384.1_59-553,CUST_142_PI426266349,5248,1,1,1,7,0,-1,0,0,7,0,3,0,0,0,0,1,2,6,0,0,0,0
0,1,66,1,222779472_EZ008143.1_400-543,CUST_120_PI426226825,5084,18,39,17,34,30,35,7,22,53,51,3,19,14,23,32,41,23,9,11,7,0,13
0,1,67,1,NA,NA,4920,0,0,1,0,0,-1,1,1,-12,0,0,0,-1,-1,0,0,1,1,1,0,0,0
0,1,68,1,222784955_EZ013589.1_536-1471,CUST_50_PI426226825,4756,0,0,0,2,0,0,1,1,12,1,3,0,-1,0,1,14,1,2,-1,0,0,0
0,1,69,1,222793958_EZ022346.1_42-503,CUST_19_PI426266360,4592,1,0,-1,0,0,0,0,1,7,1,3,0,0,0,2,5,1,1,0,-1,0,1
0,1,70,1,222548949_EZ004862.1_48-230,CUST_69_PI426266349,4428,1,-1,1,0,0,0,1,1,-2,1,2,0,1,0,2,7,5,1,0,0,-1,2
0,1,71,1,222545703_EZ001893.1_282-488,CUST_98_PI426227498,4264,1,4,1,-1,-1,-1,1,0,0,1,1,1,2,2,1,9,2,9,1,0,-1,0
0,1,72,1,AY360081_1055_1089,CUST_149_PI426266615,4100,0,1,-1,0,1,-1,1,1,0,1,1,0,0,0,1,2,1,0,1,1,0,0
0,1,73,1,222784615_EZ013259.1_218-550,CUST_163_PI426226825,3936,0,1,1,0,1,1,1,0,1,0,3,1,0,0,0,6,1,1,0,1,0,-1
