"","gene_names_ApoE_DKO","ApoE.2","ApoE.3","ApoE.4","ApoE.5","ApoE.6","DKO.1","DKO.3","DKO.5","DKO.6","DKO.7","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"14278","Tnfsf12",313.913195802446,437.294484410125,379.979830302485,377.707201776016,395.64339626307,3.02142444628935,4.03746003387585,22.6489586795111,2.92312730161479,12.4317410354009,194.960082005083,5.44863949572481,0.46257696353165,11.7788820570007,5.01538383173659e-32,4.01907783356211e-28
"9433","Nlrp1b",188.347917481468,168.712284450913,253.96120303761,128.820668155396,262.207062146044,44.3142252122438,46.4307903895723,69.0253978804148,56.2702005560846,29.0073957492687,124.709714505902,2.02464599166848,0.282276222492266,7.17257009390492,7.36027080897772e-13,3.9321020085162e-09
"319","2610507I01Rik",1268.73249970155,1468.96040771916,1373.69923461253,1685.92486090752,1184.1308251364,674.784793004622,683.340110733488,762.514942210207,681.088661276245,964.150582523313,1074.7326917825,0.891785615668455,0.151662316930283,5.88007379630365,4.10083611137113e-09,1.64310250892363e-05
"7305","Irg1",8.71981099451238,5.81766498106596,2.88592276179103,1.25068609859608,7.46496974081264,5.03570741048225,154.432846295751,70.1039197222962,39.4622185717996,998.683196510537,129.385694308764,-5.58663356626853,1.0048254156874,-5.5598051950614,2.70075931684445e-08,8.65701391421321e-05
"3781","Cyp1a1",291.241687216714,90.1738072065224,100.045322408756,200.109775775373,202.487304219543,3373.92396502311,1464.58862728846,1717.00677227532,273.312402700982,698.940107101427,841.182977121621,-3.08987089142633,0.562348254557568,-5.49458607968351,3.91627868823269e-08,0.000104610330893842
"3348","Cnnm2",1428.30504090113,1365.21204889015,1243.83271033193,1619.63849768192,1677.75194924764,2085.79000942175,2471.93490574049,2782.58635205422,2175.5374942268,2247.38251828858,1909.79715267846,-0.681627789340256,0.129128243190491,-5.27868863153906,1.30111680242031e-07,0.000297899985605575
"3700","Ctso",1984.62898235102,2158.35370797547,2358.7608706372,2248.73360527575,2720.0483493086,1471.43370534291,1509.0006876611,1672.78737675818,1666.18256192043,1428.26891451161,1921.81987617423,0.56553968536924,0.111312927497128,5.08062898070696,3.76187211483188e-07,0.000753644054805131
"14285","Tnip1",1287.04410279003,1181.95560198657,1170.72266703323,1084.3448474828,1359.5576140455,1714.15480252816,1610.94655351646,1998.50097300638,1640.6051980313,1664.47199418423,1471.23043546047,-0.503318162495135,0.103101895386961,-4.88175470107595,1.05146001223689e-06,0.0018724166240134
"12872","Slurp1",28.7753762818909,46.5413198485277,251.075280275819,41.2726412536707,99.843970283369,8.0571318567716,4.03746003387585,23.7274805213926,2.92312730161479,4.14391367846696,51.0397701335399,3.45341173903654,0.728119873835677,4.74291646627395,2.10663152468823e-06,0.00337629834461782
"4780","Eps8l1",57.5507525637817,79.5080880745681,135.638369804178,93.801457394706,26.1273940928442,182.292608259458,243.25696704102,300.907593884933,405.583913099051,256.922648064951,178.158979227949,-1.82561777599241,0.389189329418356,-4.69082176204778,2.72109940710061e-06,0.00396464183614559
"1466","Ankrd9",754.263651025321,615.702877162814,526.199916899897,564.059430466832,704.506519289193,1379.78383047214,1688.66765916857,1337.36708393304,1437.44785056907,693.414888863471,970.141370785035,-1.04679242325745,0.234051002151511,-4.47249707813607,7.73114569925721e-06,0.00885050515157109
"6031","Gm1821",927.787889816118,680.666802784717,685.887643052334,722.896564988535,1027.36646057934,1491.57653498484,1630.12448867737,1095.77819135158,1568.98857914174,1252.84323545651,1108.39163908331,-0.7994220968311,0.178159678343953,-4.48711012649982,7.21957614488416e-06,0.00885050515157109
"5868","Gm11166",92.4299965418313,34.9059898863958,36.555021649353,32.5178385634981,28.926757745649,9.06427333886806,13.1217451100965,14.0207839444592,8.03860007944066,15.1943501543789,28.477535701397,1.94743852458307,0.437262943124252,4.45370126878026,8.44025132962239e-06,0.00901812720399054
"3167","Chst1",1014.98599976124,655.456921200098,607.005754230046,772.924008932378,1152.40470373795,1770.55472552556,2001.57081179395,1411.78509102286,1414.79361398156,1468.32674673679,1226.98083769224,-0.940384947037153,0.214543009746743,-4.38320012452156,1.16948589869732e-05,0.0104129724991233
"7184","Il6",188.347917481468,95.9914721875884,165.459571676019,50.0274439438432,109.175182459385,46.3285081764367,43.4026953641654,42.0623518333777,16.807981984285,19.3382638328458,77.6941388939413,1.86141064093951,0.423532660631726,4.39496363317788,1.10791300105714e-05,0.0104129724991233
"15583","Zfp39",483.077529095986,670.970694482941,556.983093025668,624.092363199444,563.605215431354,399.835168392291,308.865692591502,262.0808075772,369.77560365427,417.153976965674,465.644014441633,0.721976880205449,0.164711689574873,4.3832765122433,1.16907573062344e-05,0.0104129724991233
"4073","Derl3",87.1981099451238,45.57170901835,77.9199145683577,67.5370493241884,92.3790005425564,148.049797868178,121.123801016275,180.113147594207,119.848219366206,167.137851698167,110.687860094161,-0.983605374122775,0.231055865480729,-4.25700240102675,2.07186131383698e-05,0.0174766954088765
"3557","Crabp2",53.1908470665255,92.1130288668777,252.03725452975,43.7740134508628,145.566909945846,13.0928392672539,22.2060301863172,46.3764392009037,26.3081457145331,15.1943501543789,70.9859858383249,2.24976739006918,0.530915034104886,4.23752812700482,2.25994115292865e-05,0.0181100384289938
"12471","Shisa6",39.2391494753057,32.9667682260404,23.0873820943282,37.5205829578824,50.3885457504853,76.5427526393302,122.133166024744,131.579664709541,87.6938190484436,49.7269641416035,65.0878795067704,-1.35462571410868,0.321374797183266,-4.21509628627225,2.49671645056645e-05,0.019054702168204
"6713","Hgf",711.53657715221,1174.19871534515,2294.30859562387,692.880098622229,1485.52897842171,459.256515835982,543.038374556302,589.95144750917,318.620875876012,440.636154476987,870.995633341962,1.43561228890401,0.343479367047781,4.17961725399448,2.9200013338574e-05,0.0212722097171512
