gene_names,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,WT.1,WT.2,WT.3,WT.5,WT.6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mfap3,1581.645005,1496.436517,1452.670067,1637.954754,1628.279665,2094.704713,2128.18394,2127.539649,2159.606333,2063.805756,1929.155278,-0.439402461,0.084056319,-5.227476861,1.72E-07,9.31E-05
Slitrk4,10.7461983,8.825641317,8.396936802,4.974266064,4.020443618,33.20277867,30.56271815,32.181272,34.50194841,17.49860242,13.44343163,-1.995915906,0.384480026,-5.191208314,2.09E-07,0.000109722
Igj,2369.048262,3077.206939,5636.443828,3454.272477,2167.01911,746.0859678,770.1804973,352.802093,359.0359006,949.0418488,1664.093991,2.394233454,0.462485807,5.176879843,2.26E-07,0.000113744
Mroh1,3283.452045,3173.308367,3136.255895,3322.809731,3627.780292,2603.488469,2340.085453,2661.510384,2679.291931,2697.872761,3108.959009,0.349392255,0.067534682,5.173523394,2.30E-07,0.000113744
Mill1,165.100683,90.21766679,55.62970631,33.39864357,56.28621066,23.43725553,14.2626018,16.68658548,18.32916009,22.64525019,42.07260439,2.067931061,0.40056966,5.162475509,2.44E-07,0.000117317
Mmp12,493.3481948,238.2923155,998.1858623,449.1051646,686.1557109,48.82761569,66.21922265,61.97874607,50.67473672,13.3812842,909.8274736,3.571272348,0.694559325,5.141781588,2.72E-07,0.000127467
C5ar2,41.03093897,28.43817758,49.33200371,32.68803414,64.3270979,124.0221439,85.57561081,123.9574921,114.2877041,115.28491,64.80833816,-1.400042965,0.276799144,-5.057974325,4.24E-07,0.000193245
Npas2,589.0870524,652.1168306,429.293394,432.7611476,637.9103875,173.8263119,99.83821261,237.1878936,199.4643892,91.6103303,457.2469675,1.773950229,0.351090045,5.052693039,4.36E-07,0.000193573
Il1b,44.93864745,200.0478698,139.5990743,58.26997389,540.0795927,42.96830181,26.48768906,14.30278756,11.86004476,13.3812842,98.02812209,3.166665429,0.628507287,5.038390957,4.69E-07,0.000198433
Nlrp3,42.00786609,106.8883226,89.21745352,76.03520984,388.6428831,17.57794165,23.43141725,17.87848444,16.17278832,34.99720484,82.83562193,2.668843971,0.529340042,5.041832776,4.61E-07,0.000198433
Bcl3,219.8086016,301.0524316,399.9041152,249.4239126,395.3436225,164.0607887,138.5509889,79.85723052,52.8311085,149.2527853,250.5551729,1.41712727,0.285434425,4.964808535,6.88E-07,0.000283753
Zbtb14,1076.573684,851.1840736,947.8042415,1048.148921,959.5458769,1473.617442,1490.441888,1205.009852,1189.239034,1343.275068,1138.144505,-0.456434072,0.092164852,-4.952365892,7.33E-07,0.000295483
Cd5l,454.2711101,206.9122575,742.0792898,342.513749,960.8860248,4.882761569,8.150058172,2.383797926,40.97106373,10.29329554,1272.944152,5.343028868,1.080442906,4.945220928,7.61E-07,0.000299563
Slc25a10,1437.059791,2484.908344,2456.104014,1143.370585,1182.010424,768.546671,816.0245745,637.6659452,544.4838733,725.6773356,1110.937593,1.31720271,0.266601183,4.940723419,7.78E-07,0.000299744
Ctso,1427.29052,1466.037085,1627.956122,1620.189518,1385.7129,2071.267458,2275.903745,1998.814561,1940.734598,2104.978938,1938.381717,-0.464614189,0.094369324,-4.923360356,8.51E-07,0.000320494
Gbp10,63.5002627,86.29515954,110.2097955,63.9548494,28.14310533,26.36691247,18.33763089,19.07038341,8.625487102,15.43994331,46.21478026,2.003540588,0.407868895,4.912217173,9.01E-07,0.000330546
Gm1821,1446.829062,1583.712303,1066.410974,1525.678463,1215.514121,513.6665171,797.6869436,816.4507896,846.3759219,787.4371088,968.8764768,0.863117541,0.175824381,4.908975286,9.16E-07,0.000330546
Spata24,88.90036777,85.31453273,54.58008921,69.6397249,79.0687245,136.7173239,145.6822898,115.6141994,121.8350053,111.1675918,105.9569952,-0.7455528,0.152193346,-4.898721398,9.65E-07,0.000341162
Csf3r,293.0781355,419.7082759,428.2437769,252.9769598,597.7059513,199.216672,143.6447753,145.4116735,216.7153634,146.1647967,299.5211934,1.223327351,0.250457208,4.884376708,1.04E-06,0.00035962
Mmp13,68.38489829,213.7766452,49.33200371,12.79096988,68.34754151,2.929656942,1.018757272,2.383797926,3.234557663,6.175977324,126.1540515,4.709719411,0.965934071,4.875818705,1.08E-06,0.000368205
Serpina3j,672.1258575,572.6860588,6.297702601,97.35349297,151.4367096,2.929656942,22.41265997,16.68658548,5.390929439,16.46927286,109.6467853,4.554333309,0.936389259,4.863718016,1.15E-06,0.000383929
Mfsd2b,164.1237559,153.9584096,161.6410334,153.4916385,187.6207022,218.7477183,225.145357,243.1473884,268.468286,230.5698201,190.1314895,-0.537056787,0.11051966,-4.859377847,1.18E-06,0.000385037
Pou2af1,226.6470915,167.687185,277.0989145,197.5494237,143.3958224,30.27312173,47.88159176,22.6460803,29.11101897,76.17038699,102.244221,2.294992776,0.473210183,4.849838104,1.24E-06,0.000396543
Osgin1,112.3466186,107.8689494,101.8128587,121.5142139,117.9330128,220.7008229,205.7889689,134.6845828,162.806069,180.1326719,146.2542839,-0.689834838,0.144164668,-4.785047882,1.71E-06,0.000538637
Klf16,464.0403812,456.9720948,427.1941598,537.9313444,532.0387055,362.3009084,335.1711423,362.3372847,338.5503687,358.2066848,441.1139875,0.461636444,0.097229749,4.747893017,2.06E-06,0.000624934
Slfn4,80.10802371,167.687185,185.7822267,100.1959307,621.828613,41.9917495,52.97537812,38.14076682,52.8311085,52.49580725,121.2226991,2.273023765,0.48034006,4.732113671,2.22E-06,0.000652648
Wee1,534.3791338,498.158421,608.7779181,563.5132841,738.4214779,797.8432404,1113.501698,1393.329888,1560.13498,1182.699658,839.840141,-1.039570073,0.220415254,-4.716416183,2.40E-06,0.000681936
Zfp229,785.4494032,708.012559,707.4419255,734.7701586,706.257929,925.7715935,870.0187099,954.7110693,878.7214985,929.4845872,819.2879098,-0.322574224,0.068347372,-4.71962877,2.36E-06,0.000681936
Grap,369.2784508,299.091178,481.774249,275.0058524,316.274898,573.2362082,505.3036067,635.2821473,605.9404689,571.2779025,457.7505377,-0.732441545,0.15597053,-4.696025235,2.65E-06,0.000739917
Serpina3g,237.3932898,183.377214,231.9653791,185.4690632,172.8790756,52.73382495,92.70691171,77.47343259,38.81469196,40.14385261,150.9616197,1.744875313,0.371789097,4.693185806,2.69E-06,0.000739917
Prr24,560.756166,460.8946021,415.6483717,383.0184869,490.4941215,678.7038581,644.8733529,785.4614166,797.8575569,586.7178458,543.8480344,-0.597618574,0.127948202,-4.670785237,3.00E-06,0.000812481
Pnpla3,1200.643429,3404.736295,4677.093798,2539.71813,3035.434932,1330.064251,421.7655104,497.0218676,313.7520933,812.1410181,1779.113891,2.138122723,0.458613189,4.662148356,3.13E-06,0.000821666
Sae1,1449.759844,1603.324839,1588.070673,2060.05676,1715.389277,1179.675195,1274.465347,1079.86046,1271.181162,1117.851896,1545.292915,0.507414664,0.108801442,4.663675919,3.11E-06,0.000821666
Neu2,10.7461983,2.941880439,13.6450223,2.131828313,30.82340107,57.61658652,71.31300901,71.51393778,95.95854401,34.99720484,31.63744988,-2.507891848,0.54376197,-4.612113364,3.99E-06,0.001030994
Mefv,53.73099151,51.97322109,50.38162081,29.84559638,138.0352309,8.788970825,4.075029086,14.30278756,3.234557663,9.263965986,58.83053204,3.030897895,0.661712921,4.580381911,4.64E-06,0.001182843
Arhgef6,1802.430533,1671.968716,1910.303122,2030.211164,2118.773787,2595.67605,2658.956479,2514.906812,2932.665615,2269.671667,2281.753437,-0.444559943,0.097578561,-4.555918197,5.22E-06,0.001309978
Gck,62.52333558,50.99259427,32.53813011,16.34401707,45.56502768,10.74207545,4.075029086,5.959494815,3.234557663,8.234636432,21.84544595,2.679405018,0.596434691,4.492369506,7.04E-06,0.001719457
Itgax,268.6549576,165.7259314,535.3047211,301.2984016,262.6689831,71.28831891,75.38803809,42.90836267,23.72008953,50.43714814,498.5431455,2.538640684,0.565104432,4.492339009,7.04E-06,0.001719457
Tbc1d16,3006.98167,2503.540253,2267.172936,2191.519506,1763.634601,1480.453308,1280.57789,1328.967344,1189.239034,1536.789024,1780.576915,0.783717508,0.175833193,4.457164731,8.31E-06,0.001986137
Ybx2,577.363927,701.1481713,1136.73532,574.8830351,519.9773747,410.1519718,257.7455897,281.2881553,212.4026199,367.4706508,447.9840605,1.198397342,0.269141297,4.452669862,8.48E-06,0.001986137
Col13a1,84.9926593,81.39202548,62.97702601,93.08983634,128.6541958,188.4745966,194.5826389,213.3499144,182.213415,148.2234558,120.0465742,-1.043713286,0.235598805,-4.430044913,9.42E-06,0.002176959
Fgr,127.9774525,113.7527103,193.1295464,81.0094759,115.2527171,57.61658652,45.84407722,29.79747407,42.04924962,28.82122751,146.0821615,1.624210503,0.367898063,4.414838414,1.01E-05,0.002305015
9930013L23Rik,134.8159423,66.68262328,718.9877136,257.2406165,1309.324472,54.68692958,43.80656268,61.97874607,57.14385205,53.52513681,377.0939744,3.196847845,0.725414448,4.406926076,1.05E-05,0.00235976
Atad5,306.7551152,302.0330584,326.4309182,321.1954659,348.4384469,448.2375121,540.9601112,510.1327562,546.6402451,371.587969,399.0040731,-0.591844728,0.134986173,-4.384484101,1.16E-05,0.00256667
Trim24,3446.598874,2890.887845,3095.320828,2254.053136,2558.342289,3737.265705,4099.479261,4129.929907,3661.519275,4413.765127,3125.607523,-0.492698381,0.112408707,-4.383098041,1.17E-05,0.00256667
5830417I10Rik,1495.675418,1478.785234,1802.192561,1677.748882,2033.004323,953.1150583,939.2942044,1195.47466,1206.490008,978.8924058,1443.637201,0.686493406,0.156913285,4.374985874,1.21E-05,0.00261158
Dtx4,1528.89094,1763.16701,1464.215855,2030.211164,1527.768575,1212.877974,1035.057388,926.1054942,847.4541078,1038.59352,1511.691595,0.716664167,0.163951756,4.371189334,1.24E-05,0.00261158
Cetn3,791.3109659,866.8741027,841.7929144,794.4613514,850.9938992,999.9895694,1254.090201,1092.971349,1219.428239,1064.326759,992.6217299,-0.442350147,0.101364499,-4.363955349,1.28E-05,0.002635226
Serpina3n,6732.004773,5928.869711,3370.320509,2422.467573,4437.229607,1451.156738,1964.16402,1259.837204,1467.410993,2180.119995,4857.995678,1.45955468,0.334400993,4.364684048,1.27E-05,0.002635226
Rbp7,581.2716354,679.5743814,487.0223345,458.3430873,556.1613672,777.3356418,1094.14531,1103.69844,672.7879939,1341.216409,647.5541556,-0.853276708,0.195883372,-4.356044621,1.32E-05,0.002700091
Igsf23,113.3235457,63.74074284,141.6983085,77.45642871,44.2248798,29.29656942,12.22508726,8.343292741,1.078185888,25.73323885,53.09081401,2.515855303,0.578852879,4.346277603,1.38E-05,0.002790277
S100a8,61.54640846,209.854138,309.6370446,36.95169076,158.137449,13.67173239,13.24384453,8.343292741,52.8311085,5.14664777,71.36681347,3.056844687,0.705516631,4.332774807,1.47E-05,0.002932987
Me1,5373.099151,14324.01586,15444.06601,6245.546348,4670.415337,3445.276563,3535.087732,3231.238089,2765.546802,4788.441085,5836.042184,1.374334083,0.317641687,4.326680472,1.51E-05,0.002981022
Cacna1s,66.43104405,22.5544167,36.73659851,39.79412851,17.42192235,8.788970825,7.131300901,5.959494815,14.01641654,11.32262509,18.33709444,1.958984219,0.453224831,4.322323242,1.54E-05,0.003006361
Acaca,30306.23307,79281.71657,91912.87023,24221.83329,24333.06493,12984.23957,17103.91583,14508.98608,10337.64629,23152.70966,29295.3323,1.67908351,0.389150558,4.314740081,1.60E-05,0.003076861
Hes6,347.7860542,371.6575621,344.2744089,375.9123926,351.1187427,230.4663461,280.1582497,209.7742175,254.4518695,234.6871383,307.7486584,0.566064332,0.131641728,4.300037226,1.71E-05,0.003252125
Nlrp1b,42.98479321,45.1088334,67.17549441,54.7169267,28.14310533,123.0455915,131.419688,75.08963467,105.662217,89.5516712,115.8563975,-1.131717029,0.263726978,-4.291244825,1.78E-05,0.003346843
Cytip,342.9014186,367.7350549,357.9194312,323.3272942,135.3549352,146.4828471,143.6447753,98.92761393,108.8967747,135.8715011,249.8574547,1.26953039,0.297151136,4.272339012,1.93E-05,0.003604513
2610008E11Rik,1605.091256,1662.162448,1598.566844,1561.919544,1785.076967,2014.627424,2250.434813,2307.516392,2363.383466,1988.664698,1824.965604,-0.412096764,0.096547639,-4.268325663,1.97E-05,0.003630924
Irf8,435.7094948,421.6695296,502.766591,425.6550532,273.3901661,238.2787646,279.1394924,190.7038341,184.3697868,220.2765246,379.7872642,0.888554778,0.208769559,4.256151059,2.08E-05,0.003715699
Lcn2,680.9182015,670.7487401,844.9417657,191.8645482,676.7746758,153.3187133,198.657668,179.9767434,166.0406267,207.9245699,612.5675713,1.757986782,0.412718807,4.259526711,2.05E-05,0.003715699
Egln3,751.2569541,1064.960719,995.037011,370.2275171,359.1596299,274.4112002,318.871026,210.9661164,237.2008953,401.4385261,451.4807323,1.294673483,0.305061281,4.24397839,2.20E-05,0.003865306
Hook2,291.1242813,317.7230874,311.7362788,241.6072088,276.0704618,207.0290905,182.3575516,165.6739559,217.7935493,198.6606039,257.5214092,0.562773797,0.132644068,4.242736251,2.21E-05,0.003865306
Trem1,4.884635592,18.63190945,41.98468401,9.23792269,69.68768939,0.976552314,1.018757272,7.151393778,1.078185888,2.058659108,16.72856206,3.580009253,0.846813823,4.227622595,2.36E-05,0.004092887
Rps19bp1,286.2396457,306.9361925,302.2897249,294.1923072,276.0704618,193.3573581,226.1641143,214.5418133,233.9663376,233.6578088,259.1567458,0.414073645,0.098537558,4.202191063,2.64E-05,0.004535722
Tnfsf8,18.56161525,24.51567032,49.33200371,30.55620582,48.24532342,6.835866197,2.037514543,3.575696889,8.625487102,13.3812842,36.97470077,2.301831766,0.550863684,4.178586883,2.93E-05,0.004983665
Fam117a,1535.72943,1557.235379,1618.509568,1451.064472,690.1761545,695.3052475,677.4735856,512.5165541,561.7348475,799.7890634,888.3541714,1.077881105,0.258120093,4.175889966,2.97E-05,0.004994124
Cyp21a1,57.63869999,2005.381832,53.53047211,404.3367701,64.3270979,84.96005131,43.80656268,75.08963467,37.73650607,24.7039093,211.3239937,3.279576583,0.788462123,4.159459899,3.19E-05,0.005315661
Acly,10844.86794,35151.54874,34540.79953,20299.2692,8802.091229,7446.211393,8340.565782,6029.816854,5326.238285,7522.34038,12907.59568,1.661198698,0.399632101,4.156819967,3.23E-05,0.00532622
Slc1a5,9274.946062,8523.608258,12582.8098,5633.711622,8500.557957,16523.26515,17883.26514,13982.16673,12168.40593,19296.84115,10405.13249,-0.843137078,0.203141092,-4.150499883,3.32E-05,0.005423799
Taf5,294.0550626,345.1806382,332.7286208,284.2437751,357.819482,432.612675,458.4407722,423.1241319,438.8216563,486.872879,369.9503608,-0.477154346,0.11502607,-4.148227852,3.35E-05,0.005426701
Col7a1,190.5007881,213.7766452,319.0835985,157.0446857,324.3157852,84.96005131,116.138329,128.725088,126.1477489,168.8100469,167.5151832,0.943276303,0.227547877,4.145397078,3.39E-05,0.00544331
Timp1,699.4798168,638.3880552,1221.754305,461.8961345,1129.744657,254.8801539,339.2461714,255.0663781,336.393997,267.625684,1105.023588,1.513643166,0.365839716,4.137448995,3.51E-05,0.005583575
Ncf4,100.6234932,77.46951822,177.3852899,117.2505572,119.2731607,51.75727263,52.97537812,22.6460803,47.44017906,48.37848904,113.7102308,1.402767226,0.341100294,4.112477333,3.91E-05,0.006111337
Akr1b7,1.953854237,1725.903191,1.0496171,111.5656817,4.020443618,6.835866197,1.018757272,16.68658548,7.547301214,3.087988662,127.1682807,5.716571435,1.39485788,4.098318201,4.16E-05,0.006439378
Acsl5,4172.455723,7389.023036,7118.503174,5399.921117,2672.254858,2729.463717,2610.05613,2286.062211,1937.50004,3241.358765,4002.050294,1.063070734,0.26011905,4.086862275,4.37E-05,0.006705736
Mlec,8479.727388,9529.731368,8718.119634,9375.070312,6990.211305,6599.540537,5688.740604,6220.520688,5876.113088,7388.527538,7720.606753,0.439819456,0.10771442,4.083199418,4.44E-05,0.0067526
