gene_names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Exp.1.Basal,Exp.1.TW.100,Exp.2.Basal,Exp.2.TW.100,Exp.4.Basal,Exp.4.TW.100
Ndc80,1464.104394,1.46790927,0.170906866,8.588942637,8.78E-18,6.87E-16,1088.228895,2440.330999,392.304265,1509.440253,961.9987379,2392.323215
Nuf2,2366.134292,1.33704629,0.155779141,8.58296099,9.25E-18,7.19E-16,1770.093836,3857.549964,834.5896023,2742.719506,1529.981226,3461.871617
Kntc1,3020.157899,1.276601903,0.148770989,8.580986841,9.41E-18,7.27E-16,2423.424746,5008.551002,901.5453783,2844.368343,2172.849844,4770.208083
Sox11,1309.664035,1.193328991,0.139202304,8.572623876,1.01E-17,7.78E-16,1280.095653,2759.618513,341.3801537,924.734553,830.659988,1721.49535
Hist1h2ag,638.886796,1.464481202,0.171121155,8.558154054,1.15E-17,8.78E-16,240.0794307,684.6846688,515.842387,1149.621361,285.7193856,957.373543
Pi16,1237.104129,-1.346926712,0.157626402,-8.545057768,1.28E-17,9.78E-16,1415.878282,715.1344317,2096.375916,698.0486509,1834.134121,663.0533703
Atad2,5513.576868,1.098474899,0.128956773,8.518163643,1.62E-17,1.23E-15,5393.915735,9920.532755,1091.096237,2778.701395,4468.973778,9428.241307
Prkab2,5059.508708,-1.003657581,0.117845822,-8.516700565,1.64E-17,1.24E-15,9622.855871,5356.548292,4453.973663,2231.776679,6019.692701,2672.20504
Prim1,1346.275189,1.088330357,0.128029841,8.500599149,1.89E-17,1.41E-15,947.5266057,1832.205734,793.095882,1776.60578,846.7893082,1881.427821
Hist1h4j,943.3148064,1.40518415,0.165346243,8.498434115,1.92E-17,1.43E-15,309.9386094,1003.10219,836.4756805,1734.32706,466.5981902,1309.447108
Mcm7,5953.258923,1.028063376,0.120985685,8.497396795,1.94E-17,1.44E-15,3024.607254,6500.589384,5181.999847,9104.31752,3665.964053,8242.075479
Mybl2,992.8476984,1.223534388,0.144061471,8.493141045,2.01E-17,1.49E-15,514.5964847,1307.599819,726.140106,1461.76425,556.4615454,1390.523986
Slc16a9,367.9830063,1.933440042,0.227696429,8.491305954,2.04E-17,1.50E-15,241.0633628,665.5448178,142.3989039,523.5364882,94.47173234,540.8827325
BC055324,998.1424042,1.126511264,0.132859696,8.478954067,2.27E-17,1.66E-15,631.6844038,1305.859832,621.462766,1472.558816,626.7392975,1330.549309
Ttk,863.5469498,1.450694841,0.171156094,8.475858526,2.33E-17,1.70E-15,731.0615452,1558.157868,170.6900769,590.1029832,554.1573568,1577.111869
Hmgb2,1359.824759,1.131540662,0.133637457,8.467241819,2.51E-17,1.82E-15,996.7232104,1936.604921,807.2414685,1994.29621,759.2301416,1664.8526
Chaf1b,1563.41579,1.161965437,0.13743922,8.454394899,2.81E-17,2.02E-15,750.7401871,1811.325896,1308.938269,2469.257148,875.5916656,2164.641572
Plin4,1059.23547,-1.153884738,0.136529971,-8.451512389,2.88E-17,2.06E-15,1819.29044,806.4837204,1347.602872,547.8242634,1218.915766,615.2957573
Kif4,3356.280786,1.393403561,0.165204264,8.434428529,3.33E-17,2.38E-15,2570.030627,5405.267913,966.6150761,3550.512919,2273.082048,5372.176134
Gbp2,7177.479626,1.016441422,0.120540108,8.432391861,3.39E-17,2.41E-15,3696.632874,6460.569696,5133.904853,10706.41114,5220.139259,11847.21993
Fgf18,1224.151873,-1.644611994,0.195224889,-8.424192215,3.63E-17,2.57E-15,2579.869948,1143.171099,1438.134625,308.5447001,1400.946665,474.2442029
Cdc6,1313.560409,1.186261048,0.140857743,8.421695695,3.71E-17,2.61E-15,758.6116439,1753.03635,996.7923273,1956.515226,669.3667865,1747.04012
Extl1,196.3780923,1.85628133,0.22102327,8.398578721,4.52E-17,3.17E-15,106.2646661,364.5271617,68.8418542,253.672319,80.64660078,304.3159522
Ifit1,5116.912151,1.346611446,0.160417806,8.394401344,4.68E-17,3.27E-15,2553.303782,5365.248224,1996.413772,7038.957079,4260.44471,9487.105341
Ercc6l,1563.189205,1.440960024,0.172362291,8.360065378,6.27E-17,4.35E-15,1213.188271,2502.970511,370.6143658,1375.407715,1072.59979,2844.354575
Mxd3,942.0346457,1.12363341,0.134414695,8.359453613,6.30E-17,4.36E-15,481.1427936,1099.671438,764.804709,1540.024859,542.6364138,1223.927662
Ism1,1199.050027,-1.066627603,0.127687311,-8.353434621,6.63E-17,4.56E-15,1609.712904,736.8842624,1867.217415,859.9671524,1397.490382,723.028047
Slc16a4,847.429772,-1.166590562,0.139680525,-8.351848337,6.72E-17,4.60E-15,1972.783847,897.8330092,403.6207342,189.8044656,1145.181731,475.354845
Hmgb3,1178.04156,1.059355234,0.126919587,8.346664652,7.02E-17,4.79E-15,859.9566495,1750.426371,785.5515692,1743.322533,642.8686177,1286.123623
Mcm3,4718.373825,1.060560641,0.12710101,8.34423459,7.17E-17,4.87E-15,2500.171449,5223.439329,4255.935452,7621.863684,2539.21583,6169.617206
Tinagl1,9945.417647,-0.911700312,0.109292936,-8.341804526,7.32E-17,4.94E-15,11228.63305,6180.431877,14748.18846,7108.222215,13029.0344,7377.995877
Lrrc17,2053.143625,-1.087255925,0.130603607,-8.324853698,8.44E-17,5.68E-15,5310.281507,2780.49835,1170.311521,474.0613905,1738.510294,845.1986847
Kcnq5,124.4715303,2.87281258,0.346186845,8.298445264,1.05E-16,7.07E-15,30.50189489,155.7287874,26.40509476,155.6216709,26.49816883,352.0735651
Serpina3g,10996.61181,4.505690975,0.543189641,8.294876479,1.09E-16,7.25E-15,246.9669554,11053.26394,2625.420851,29445.77904,926.2838147,21681.95627
Tyms,3386.067435,0.886879032,0.107030406,8.286234368,1.17E-16,7.76E-15,2058.385939,3753.150777,2806.484358,5184.090689,2263.865293,4250.427551
Cenpi,1595.269974,1.213735304,0.146504849,8.284608392,1.18E-16,7.83E-15,1140.377296,2527.330321,648.8108999,1862.062767,1142.877542,2250.161019
Esco2,805.8740414,1.375410512,0.166204841,8.275393806,1.28E-16,8.43E-15,691.7042615,1603.397515,149.9432167,508.2441852,570.286677,1311.668392
Hist1h2bj,1524.5451,1.278645876,0.154599278,8.270710516,1.33E-16,8.69E-15,612.9896941,1917.46507,1177.855834,2639.271574,919.3712489,1880.317179
Ninl,2732.512284,0.940350483,0.113693927,8.270894577,1.33E-16,8.69E-15,2090.855698,3776.640594,1657.862735,3163.70761,1869.849044,3836.158025
Ccne2,987.3019978,1.134121741,0.137276321,8.261597695,1.44E-16,9.34E-15,854.0530569,1700.836757,327.2345672,725.934615,680.8877295,1634.865261
Tppp,997.9711984,-1.530236689,0.185609328,-8.244395406,1.66E-16,1.07E-14,2542.480529,1194.500699,775.1781391,263.5673385,967.7592094,244.3412755
Apod,2036.167185,-1.057853255,0.128389344,-8.239416277,1.73E-16,1.11E-14,3355.208438,1478.988484,2979.060513,1351.11994,1960.864493,1091.761245
Fbxl22,591.46839,-1.24944709,0.151657729,-8.23859816,1.74E-16,1.12E-14,610.0378978,265.3479339,974.1593889,372.4125534,915.914966,410.9375997
Tgtp2,356.4559255,2.093697109,0.25487244,8.214686185,2.13E-16,1.36E-14,125.9433079,346.2573039,95.24694897,667.464045,178.574616,725.2493313
Ccrl1,227.3048679,-2.496270456,0.304301194,-8.203288415,2.34E-16,1.49E-14,514.5964847,160.0787536,331.9497627,35.08234199,278.8068198,43.31504429
Prr11,1347.656804,1.153079162,0.14061315,8.200365039,2.40E-16,1.52E-14,921.9443713,1718.236621,730.8553015,1748.719816,854.8539683,2111.330749
Rfc5,1956.555067,0.990060508,0.121019998,8.180966155,2.82E-16,1.78E-14,1021.321513,2127.133437,1656.919696,2991.894089,1276.520481,2665.541187
Cdc45,1787.057929,1.002480615,0.122629674,8.1748616,2.96E-16,1.86E-14,1085.277099,2142.793315,1503.204323,2793.094151,1000.01785,2197.960837
Tmem158,531.1027816,-1.299921579,0.159074332,-8.17178713,3.04E-16,1.90E-14,623.8129471,223.5882591,975.102428,426.3853873,657.8458435,279.8818246
Stx11,1502.812995,1.180282501,0.144663881,8.158791898,3.38E-16,2.11E-14,869.7959704,1616.447414,1032.627813,2441.371184,837.5725538,2219.063038
Aldh1a3,16542.12295,-1.378772822,0.169093548,-8.153905584,3.52E-16,2.18E-14,29318.22458,16438.522,15000.92294,4841.363195,25593.7748,8059.930164
Hist1h2ae,542.9257243,1.362162995,0.167068864,8.153302569,3.54E-16,2.19E-14,189.898894,576.8055088,458.317002,1013.789729,285.7193856,733.0238264
Wdr90,1080.651788,1.076298926,0.132132454,8.145606135,3.77E-16,2.32E-14,579.5360029,1296.289907,795.9249993,1537.326217,716.6026527,1558.230952
Atp10a,5323.675752,-0.855952955,0.105284808,-8.129880986,4.30E-16,2.63E-14,7909.830097,4238.606997,6968.1159,3788.892935,5722.452373,3314.156209
Map2k6,233.5307008,1.65782868,0.204287477,8.115175277,4.85E-16,2.96E-14,77.73063536,250.5580491,131.0824347,417.389915,129.0345612,395.3886094
Ect2,2433.406972,1.35146451,0.166902007,8.097353266,5.62E-16,3.41E-14,1959.99273,3988.048948,543.1905208,1934.926093,1858.328101,4315.955439
Atoh8,3392.840418,-1.512351367,0.186880978,-8.092591251,5.84E-16,3.53E-14,6038.391256,2940.577104,4688.790399,1092.050338,4063.436585,1533.796825
Ddx58,12253.19278,0.990353958,0.122504042,8.084255349,6.25E-16,3.77E-14,8317.177984,14548.02672,7000.179229,16356.46729,9351.549408,17945.75604
Hist1h3i,1114.145611,1.070989113,0.132526822,8.081300832,6.41E-16,3.85E-14,489.0142503,1136.211153,985.4758581,1928.629262,703.9296154,1441.613525
Rtn1,155.6484097,2.619939637,0.324517063,8.073349402,6.84E-16,4.09E-14,118.0718512,450.656491,18.86078197,160.119407,19.58560305,166.5963242
Shcbp1,1194.282213,1.195788647,0.148148845,8.071535384,6.94E-16,4.13E-14,1007.546463,2268.942333,377.2156395,1046.173429,838.7246481,1627.090766
Ccl8,433.9847834,1.966063583,0.243661345,8.06883661,7.10E-16,4.21E-14,150.5416103,393.2369381,172.5761551,1093.849432,173.9662388,619.738326
Ccnb2,2853.250288,0.884771317,0.109747741,8.061863587,7.51E-16,4.44E-14,1848.808403,3419.943371,2352.882551,4208.981492,1821.461083,3467.424827
