Tank,Raceway,Tank.Raceway,Colony,Site,Color,Infect,Oil,Dispersant,Trt,Hyb Date,Chip,Array,chip # (array),chp_bl_hd_st_sp_tk_trt
8,B,B8,EL103,EL,full yellow,H,U,C,HUC,21612,27,3,253295110046_3,M46_B3_021612_EL_EL103_B8_HUC
1,C,C1,WL101,WL,green zip,H,U,D,HUD,21612,27,4,253295110046_4,M46_B4_021612_WL_WL101_C1_HUD
1,C,C1,WL102,WL,black zip,H,U,D,HUD,21612,27,5,253295110046_5,M46_B5_021612_WL_WL102_C1_HUD
8,B,B8,EL102,EL,full purple,H,U,C,HUC,21612,27,6,253295110046_6,M46_B6_021612_EL_EL102_B8_HUC
2,C,C2,EL102,EL,full purple,H,U,C,HUC,21612,27,7,253295110046_7,M46_B7_021612_EL_EL102_C2_HUC
2,C,C2,EL101,EL,full white,H,U,C,HUC,21612,27,8,253295110046_8,M46_B8_021612_EL_EL101_C2_HUC
8,A,A8,EL103,EL,full yellow,B,U,C,BUC,62012,28,1,253295110047_1,M47_B1_062012_EL_EL103_A8_BUC
1,B,B1,EL102,EL,full purple,B,U,D,BUD,62012,28,2,253295110047_2,M47_B2_062012_EL_EL102_B1_BUD
8,A,A8,EL105,EL,full red,B,U,C,BUC,62012,28,3,253295110047_3,M47_B3_062012_EL_EL105_A8_BUC
8,A,A8,EL104,EL,full blue,B,U,C,BUC,62012,28,4,253295110047_4,M47_B4_062012_EL_EL104_A8_BUC
8,A,A8,WL103,WL,pink zip,B,U,C,BUC,62012,28,5,253295110047_5,M47_B5_062012_WL_WL103_A8_BUC
8,A,A8,WL102,WL,black zip,B,U,C,BUC,62012,28,6,253295110047_6,M47_B6_062012_WL_WL102_A8_BUC
8,A,A8,WL105,WL,neon yellow,B,U,C,BUC,62012,28,7,253295110047_7,M47_B7_062012_WL_WL105_A8_BUC
8,A,A8,WL104,WL,orange,B,U,C,BUC,62012,28,8,253295110047_8,M47_B8_062012_WL_WL104_A8_BUC
2,A,A2,WW101,WW,1/2 white,B,O,C,BOC,80112,29,2,253295110049_2,M49_B2_080112_WW_WW101_A2_BOC
3,C,C3,WL104,WL,orange,B,U,C,BUC,80112,29,3,253295110049_3,M49_B3_080112_WL_WL104_C3_BUC
2,A,A2,WW103,WW,1/2 yellow,B,O,C,BOC,80112,29,4,253295110049_4,M49_B4_080112_WW_WW103_A2_BOC
3,C,C3,WW104,WW,1/2 blue,B,U,C,BUC,80112,29,5,253295110049_5,M49_B5_080112_WW_WW104_C3_BUC
3,C,C3,WL105,WL,neon yellow,B,U,C,BUC,80112,29,6,253295110049_6,M49_B6_080112_WL_WL105_C3_BUC
4,C,C4,EL105,EL,full red,B,O,D,BOD,80112,29,7,253295110049_7,M49_B7_080112_EL_EL105_C4_BOD
4,C,C4,EL104,EL,full blue,B,O,D,BOD,80112,29,8,253295110049_8,M49_B8_080112_EL_EL104_C4_BOD
8,C,C8,WL105,WL,neon yellow,B,U,D,BUD,72512,30,1,253295110051_1,M51_B1_072512_WL_WL105_C8_BUD
6,C,C6,EL101,EL,full white,B,O,C,BOC,72512,30,2,253295110051_2,M51_B2_072512_EL_EL101_C6_BOC
3,C,C3,WW102,WW,1/2 purple,B,U,C,BUC,72512,30,3,253295110051_3,M51_B3_072512_WW_WW102_C3_BUC
3,C,C3,WW103,WW,1/2 yellow,B,U,C,BUC,72512,30,4,253295110051_4,M51_B4_072512_WW_WW103_C3_BUC
3,C,C3,WW105,WW,1/2 red,B,U,C,BUC,72512,30,5,253295110051_5,M51_B5_072512_WW_WW105_C3_BUC
3,C,C3,WL101,WL,green zip,B,U,C,BUC,72512,30,6,253295110051_6,M51_B6_072512_WL_WL101_C3_BUC
3,B,B3,WL105,WL,neon yellow,B,O,C,BOC,72512,30,7,253295110051_7,M51_B7_072512_WL_WL105_B3_BOC
3,C,C3,WL102,WL,black zip,B,U,C,BUC,72512,30,8,253295110051_8,M51_B8_072512_WL_WL102_C3_BUC
3,B,B3,WW103,WW,1/2 yellow,B,O,C,BOC,71912,31,1,253295110052_1,M52_B1_071912_WW_WW103_B3_BOC
3,B,B3,WW101,WW,1/2 white,B,O,C,BOC,71912,31,2,253295110052_2,M52_B2_071912_WW_WW101_B3_BOC
3,B,B3,WW105,WW,1/2 red,B,O,C,BOC,71912,31,3,253295110052_3,M52_B3_071912_WW_WW105_B3_BOC
3,B,B3,WW104,WW,1/2 blue,B,O,C,BOC,71912,31,4,253295110052_4,M52_B4_071912_WW_WW104_B3_BOC
3,B,B3,EL101,EL,full white,B,O,C,BOC,71912,31,5,253295110052_5,M52_B5_071912_EL_EL101_B3_BOC
8,C,C8,WW101,WW,1/2 white,B,U,D,BUD,71912,31,6,253295110052_6,M52_B6_071912_WW_WW101_C8_BUD
5,B,B5,EL105,EL,full red,B,O,D,BOD,71912,31,7,253295110052_7,M52_B7_071912_EL_EL105_B5_BOD
8,A,A8,EL102,EL,full purple,B,U,C,BUC,71912,31,8,253295110052_8,M52_B8_071912_EL_EL102_A8_BUC
6,C,C6,EL103,EL,full yellow,B,O,C,BOC,71812,32,1,253295110053_1,M53_B1_071812_EL_EL103_C6_BOC
6,C,C6,EL102,EL,full purple,B,O,C,BOC,71812,32,2,253295110053_2,M53_B2_071812_EL_EL102_C6_BOC
8,C,C8,WW102,WW,1/2 purple,B,U,D,BUD,71812,32,3,253295110053_3,M53_B3_071812_WW_WW102_C8_BUD
6,C,C6,WW105,WW,1/2 red,B,O,C,BOC,71812,32,4,253295110053_4,M53_B4_071812_WW_WW105_C6_BOC
8,C,C8,WW105,WW,1/2 red,B,U,D,BUD,71812,32,5,253295110053_5,M53_B5_071812_WW_WW105_C8_BUD
8,C,C8,WW104,WW,1/2 blue,B,U,D,BUD,71812,32,6,253295110053_6,M53_B6_071812_WW_WW104_C8_BUD
6,C,C6,EL104,EL,full blue,B,O,C,BOC,71212,33,1,253295110055_1,M55_B1_071212_EL_EL104_C6_BOC
3,C,C3,EL103,EL,full yellow,B,U,C,BUC,71212,33,2,253295110055_2,M55_B2_071212_EL_EL103_C3_BUC
8,C,C8,EL103,EL,full yellow,B,U,D,BUD,71212,33,3,253295110055_3,M55_B3_071212_EL_EL103_C8_BUD
8,C,C8,EL101,EL,full white,B,U,D,BUD,71212,33,4,253295110055_4,M55_B4_071212_EL_EL101_C8_BUD
8,C,C8,WL101,WL,green zip,B,U,D,BUD,71212,33,5,253295110055_5,M55_B5_071212_WL_WL101_C8_BUD
8,C,C8,EL105,EL,full red,B,U,D,BUD,71212,33,6,253295110055_6,M55_B6_071212_EL_EL105_C8_BUD
8,C,C8,WW103,WW,1/2 yellow,B,U,D,BUD,71212,33,7,253295110055_7,M55_B7_071212_WW_WW103_C8_BUD
8,C,C8,WL104,WL,orange,B,U,D,BUD,71212,33,8,253295110055_8,M55_B8_071212_WL_WL104_C8_BUD
3,C,C3,EL102,EL,full purple,B,U,C,BUC,71212,34,1,253295110056_1,M56_B1_071212_EL_EL102_C3_BUC
3,C,C3,EL101,EL,full white,B,U,C,BUC,71212,34,2,253295110056_2,M56_B2_071212_EL_EL101_C3_BUC
3,C,C3,EL105,EL,full red,B,U,C,BUC,71212,34,3,253295110056_3,M56_B3_071212_EL_EL105_C3_BUC
3,C,C3,EL104,EL,full blue,B,U,C,BUC,71212,34,4,253295110056_4,M56_B4_071212_EL_EL104_C3_BUC
8,C,C8,EL102,EL,full purple,B,U,D,BUD,71212,34,5,253295110056_5,M56_B5_071212_EL_EL102_C8_BUD
3,C,C3,WW101,WW,1/2 white,B,U,C,BUC,71212,34,6,253295110056_6,M56_B6_071212_WW_WW101_C3_BUC
8,C,C8,WL103,WL,pink zip,B,U,D,BUD,71212,34,7,253295110056_7,M56_B7_071212_WL_WL103_C8_BUD
8,C,C8,EL104,EL,full blue,B,U,D,BUD,71212,34,8,253295110056_8,M56_B8_071212_EL_EL104_C8_BUD
6,B,B6,EL105,EL,full red,H,U,D,HUD,21512,35,1,253295110057_1,M57_B1_021512_EL_EL105_B6_HUD
4,A,A4,EL105,EL,full red,H,U,C,HUC,21512,35,2,253295110057_2,M57_B2_021512_EL_EL105_A4_HUC
5,A,A5,WL102,WL,black zip,H,O,D,HOD,21512,35,3,253295110057_3,M57_B3_021512_WL_WL102_A5_HOD
5,A,A5,WW103,WW,1/2 yellow,H,O,D,HOD,21512,35,4,253295110057_4,M57_B4_021512_WW_WW103_A5_HOD
1,C,C1,WW105,WW,1/2 red,H,U,D,HUD,21512,35,5,253295110057_5,M57_B5_021512_WW_WW105_C1_HUD
5,A,A5,WL103,WL,pink zip,H,O,D,HOD,21512,35,6,253295110057_6,M57_B6_021512_WL_WL103_A5_HOD
1,C,C1,WL105,WL,neon yellow,H,U,D,HUD,21512,35,7,253295110057_7,M57_B7_021512_WL_WL105_C1_HUD
1,C,C1,WL103,WL,pink zip,H,U,D,HUD,21512,35,8,253295110057_8,M57_B8_021512_WL_WL103_C1_HUD
3,A,A3,WL103,WL,pink zip,B,U,D,BUD,91312,36,1,253295110058_1,M58_B1_091312_WL_WL103_A3_BUD
3,A,A3,WL102,WL,black zip,B,U,D,BUD,91312,36,2,253295110058_2,M58_B2_091312_WL_WL102_A3_BUD
4,B,B4,EL105,EL,full red,B,U,C,BUC,91312,36,3,253295110058_3,M58_B3_091312_EL_EL105_B4_BUC
1,B,B1,WL104,WL,orange,B,U,D,BUD,91312,36,4,253295110058_4,M58_B4_091312_WL_WL104_B1_BUD
4,B,B4,WL103,WL,pink zip,B,U,C,BUC,91312,36,5,253295110058_5,M58_B5_091312_WL_WL103_B4_BUC
4,B,B4,WL101,WL,green zip,B,U,C,BUC,91312,36,6,253295110058_6,M58_B6_091312_WL_WL101_B4_BUC
4,C,C4,WL104,WL,orange,B,O,D,BOD,91312,36,7,253295110058_7,M58_B7_091312_WL_WL104_C4_BOD
5,B,B5,EL103,EL,full yellow,B,O,D,BOD,91312,36,8,253295110058_8,M58_B8_091312_EL_EL103_B5_BOD
2,A,A2,EL101,EL,full white,B,O,C,BOC,82312,37,1,253295110060_1,M60_B1_082312_EL_EL101_A2_BOC
1,A,A1,WW102,WW,1/2 purple,B,O,D,BOD,82312,37,2,253295110060_2,M60_B2_082312_WW_WW102_A1_BOD
2,A,A2,EL103,EL,full yellow,B,O,C,BOC,82312,37,3,253295110060_3,M60_B3_082312_EL_EL103_A2_BOC
2,A,A2,EL102,EL,full purple,B,O,C,BOC,82312,37,4,253295110060_4,M60_B4_082312_EL_EL102_A2_BOC
2,A,A2,EL105,EL,full red,B,O,C,BOC,82312,37,5,253295110060_5,M60_B5_082312_EL_EL105_A2_BOC
2,A,A2,EL104,EL,full blue,B,O,C,BOC,82312,37,6,253295110060_6,M60_B6_082312_EL_EL104_A2_BOC
3,A,A3,WW101,WW,1/2 white,B,U,D,BUD,82312,37,7,253295110060_7,M60_B7_082312_WW_WW101_A3_BUD
2,A,A2,WL101,WL,green zip,B,O,C,BOC,82312,37,8,253295110060_8,M60_B8_082312_WL_WL101_A2_BOC
4,C,C4,WW102,WW,1/2 purple,B,O,D,BOD,82312,38,1,253295110061_1,M61_B1_082312_WW_WW102_C4_BOD
4,C,C4,WW101,WW,1/2 white,B,O,D,BOD,82312,38,2,253295110061_2,M61_B2_082312_WW_WW101_C4_BOD
4,C,C4,WW104,WW,1/2 blue,B,O,D,BOD,82312,38,3,253295110061_3,M61_B3_082312_WW_WW104_C4_BOD
4,C,C4,WW103,WW,1/2 yellow,B,O,D,BOD,82312,38,4,253295110061_4,M61_B4_082312_WW_WW103_C4_BOD
4,C,C4,WL101,WL,green zip,B,O,D,BOD,82312,38,5,253295110061_5,M61_B5_082312_WL_WL101_C4_BOD
4,C,C4,WW105,WW,1/2 red,B,O,D,BOD,82312,38,6,253295110061_6,M61_B6_082312_WW_WW105_C4_BOD
4,C,C4,WL103,WL,pink zip,B,O,D,BOD,82312,38,7,253295110061_7,M61_B7_082312_WL_WL103_C4_BOD
4,C,C4,WL102,WL,black zip,B,O,D,BOD,82312,38,8,253295110061_8,M61_B8_082312_WL_WL102_C4_BOD
1,B,B1,WL103,WL,pink zip,B,U,D,BUD,81612,39,1,253295110063_1,M63_B1_081612_WL_WL103_B1_BUD
1,B,B1,WL102,WL,black zip,B,U,D,BUD,81612,39,2,253295110063_2,M63_B2_081612_WL_WL102_B1_BUD
3,A,A3,WL104,WL,orange,B,U,D,BUD,81612,39,3,253295110063_3,M63_B3_081612_WL_WL104_A3_BUD
1,B,B1,WW104,WW,1/2 blue,B,U,D,BUD,81612,39,4,253295110063_4,M63_B4_081612_WW_WW104_B1_BUD
5,B,B5,WL101,WL,green zip,B,O,D,BOD,81612,39,5,253295110063_5,M63_B5_081612_WL_WL101_B5_BOD
3,A,A3,WL105,WL,neon yellow,B,U,D,BUD,81612,39,6,253295110063_6,M63_B6_081612_WL_WL105_A3_BUD
5,B,B5,WL102,WL,black zip,B,O,D,BOD,81612,39,7,253295110063_7,M63_B7_081612_WL_WL102_B5_BOD
3,A,A3,EL105,EL,full red,B,U,D,BUD,81612,39,8,253295110063_8,M63_B8_081612_EL_EL105_A3_BUD
3,A,A3,WW105,WW,1/2 red,B,U,D,BUD,80912,40,1,253295110064_1,M64_B1_080912_WW_WW105_A3_BUD
3,A,A3,WW104,WW,1/2 blue,B,U,D,BUD,80912,40,2,253295110064_2,M64_B2_080912_WW_WW104_A3_BUD
1,A,A1,EL103,EL,full yellow,B,O,D,BOD,80912,40,3,253295110064_3,M64_B3_080912_EL_EL103_A1_BOD
2,A,A2,WW102,WW,1/2 purple,B,O,C,BOC,80912,40,4,253295110064_4,M64_B4_080912_WW_WW102_A2_BOC
1,A,A1,WW101,WW,1/2 white,B,O,D,BOD,80912,40,5,253295110064_5,M64_B5_080912_WW_WW101_A1_BOD
1,A,A1,EL104,EL,full blue,B,O,D,BOD,80912,40,6,253295110064_6,M64_B6_080912_EL_EL104_A1_BOD
1,A,A1,WW104,WW,1/2 blue,B,O,D,BOD,80912,40,7,253295110064_7,M64_B7_080912_WW_WW104_A1_BOD
1,A,A1,WW103,WW,1/2 yellow,B,O,D,BOD,80912,40,8,253295110064_8,M64_B8_080912_WW_WW103_A1_BOD
6,C,C6,WW103,WW,1/2 yellow,B,O,C,BOC,80112,41,1,253295110066_1,M66_B1_080112_WW_WW103_C6_BOC
6,C,C6,EL105,EL,full red,B,O,C,BOC,80112,41,2,253295110066_2,M66_B2_080112_EL_EL105_C6_BOC
1,B,B1,EL105,EL,full red,B,U,D,BUD,80112,41,3,253295110066_3,M66_B3_080112_EL_EL105_B1_BUD
6,C,C6,WW104,WW,1/2 blue,B,O,C,BOC,80112,41,4,253295110066_4,M66_B4_080112_WW_WW104_C6_BOC
3,A,A3,WW102,WW,1/2 purple,B,U,D,BUD,80112,41,5,253295110066_5,M66_B5_080112_WW_WW102_A3_BUD
3,A,A3,EL101,EL,full white,B,U,D,BUD,80112,41,6,253295110066_6,M66_B6_080112_EL_EL101_A3_BUD
3,A,A3,WW103,WW,1/2 yellow,B,U,D,BUD,80112,41,7,253295110066_7,M66_B7_080112_WW_WW103_A3_BUD
8,C,C8,WL102,WL,black zip,B,U,D,BUD,80112,41,8,253295110066_8,M66_B8_080112_WL_WL102_C8_BUD
6,C,C6,WL103,WL,pink zip,B,O,C,BOC,101712,42,1,253295110071_1,M71_B1_101712_WL_WL103_C6_BOC
6,C,C6,WL102,WL,black zip,B,O,C,BOC,101712,42,2,253295110071_2,M71_B2_101712_WL_WL102_C6_BOC
6,C,C6,WL105,WL,neon yellow,B,O,C,BOC,101712,42,3,253295110071_3,M71_B3_101712_WL_WL105_C6_BOC
6,C,C6,WL104,WL,orange,B,O,C,BOC,101712,42,4,253295110071_4,M71_B4_101712_WL_WL104_C6_BOC
3,B,B3,WW102,WW,1/2 purple,B,O,C,BOC,101712,42,5,253295110071_5,M71_B5_101712_WW_WW102_B3_BOC
4,B,B4,WW101,WW,1/2 white,B,U,C,BUC,101712,42,6,253295110071_6,M71_B6_101712_WW_WW101_B4_BUC
4,B,B4,WW104,WW,1/2 blue,B,U,C,BUC,101712,42,7,253295110071_7,M71_B7_101712_WW_WW104_B4_BUC
4,B,B4,WW103,WW,1/2 yellow,B,U,C,BUC,101712,42,8,253295110071_8,M71_B8_101712_WW_WW103_B4_BUC
6,B,B6,WL104,WL,orange,H,U,D,HUD,101712,43,1,253295110072_1,M72_B1_101712_WL_WL104_B6_HUD
3,B,B3,EL105,EL,full red,B,O,C,BOC,101712,43,2,253295110072_2,M72_B2_101712_EL_EL105_B3_BOC
3,B,B3,EL102,EL,full purple,B,O,C,BOC,101712,43,3,253295110072_3,M72_B3_101712_EL_EL102_B3_BOC
7,B,B7,WL102,WL,black zip,H,O,D,HOD,101712,43,4,253295110072_4,M72_B4_101712_WL_WL102_B7_HOD
4,B,B4,EL103,EL,full yellow,B,U,C,BUC,101712,43,5,253295110072_5,M72_B5_101712_EL_EL103_B4_BUC
3,B,B3,EL104,EL,full blue,B,O,C,BOC,101712,43,6,253295110072_6,M72_B6_101712_EL_EL104_B3_BOC
4,B,B4,EL101,EL,full white,B,U,C,BUC,101712,43,7,253295110072_7,M72_B7_101712_EL_EL101_B4_BUC
4,B,B4,EL104,EL,full blue,B,U,C,BUC,101712,43,8,253295110072_8,M72_B8_101712_EL_EL104_B4_BUC
7,A,A7,EL104,EL,full blue,H,U,D,HUD,101012,44,1,253295110073_1,M73_B1_101012_EL_EL104_A7_HUD
7,A,A7,EL102,EL,full purple,H,U,D,HUD,101012,44,2,253295110073_2,M73_B2_101012_EL_EL102_A7_HUD
7,A,A7,WW101,WW,1/2 white,H,U,D,HUD,101012,44,3,253295110073_3,M73_B3_101012_WW_WW101_A7_HUD
7,A,A7,EL105,EL,full red,H,U,D,HUD,101012,44,4,253295110073_4,M73_B4_101012_EL_EL105_A7_HUD
1,B,B1,EL103,EL,full yellow,B,U,D,BUD,101012,44,5,253295110073_5,M73_B5_101012_EL_EL103_B1_BUD
7,A,A7,WW105,WW,1/2 red,H,U,D,HUD,101012,44,6,253295110073_6,M73_B6_101012_WW_WW105_A7_HUD
5,B,B5,EL101,EL,full white,B,O,D,BOD,101012,44,7,253295110073_7,M73_B7_101012_EL_EL101_B5_BOD
1,B,B1,EL104,EL,full blue,B,U,D,BUD,101012,44,8,253295110073_8,M73_B8_101012_EL_EL104_B1_BUD
4,B,B4,WW105,WW,1/2 red,B,U,C,BUC,92712,45,1,253295110074_1,M74_B1_092712_WW_WW105_B4_BUC
3,A,A3,EL102,EL,full purple,B,U,D,BUD,92712,45,2,253295110074_2,M74_B2_092712_EL_EL102_A3_BUD
8,A,A8,WW103,WW,1/2 yellow,B,U,C,BUC,92712,45,3,253295110074_3,M74_B3_092712_WW_WW103_A8_BUC
4,B,B4,WL102,WL,black zip,B,U,C,BUC,92712,45,4,253295110074_4,M74_B4_092712_WL_WL102_B4_BUC
8,A,A8,WL101,WL,green zip,B,U,C,BUC,92712,45,5,253295110074_5,M74_B5_092712_WL_WL101_A8_BUC
8,A,A8,WW105,WW,1/2 red,B,U,C,BUC,92712,45,6,253295110074_6,M74_B6_092712_WW_WW105_A8_BUC
1,A,A1,EL105,EL,full red,B,O,D,BOD,92712,45,7,253295110074_7,M74_B7_092712_EL_EL105_A1_BOD
1,B,B1,EL101,EL,full white,B,U,D,BUD,92712,45,8,253295110074_8,M74_B8_092712_EL_EL101_B1_BUD
8,A,A8,WW104,WW,1/2 blue,B,U,C,BUC,92012,46,1,253295110076_1,M76_B1_092012_WW_WW104_A8_BUC
8,A,A8,WW101,WW,1/2 white,B,U,C,BUC,92012,46,2,253295110076_2,M76_B2_092012_WW_WW101_A8_BUC
3,B,B3,WL103,WL,pink zip,B,O,C,BOC,92012,46,3,253295110076_3,M76_B3_092012_WL_WL103_B3_BOC
8,A,A8,WW102,WW,1/2 purple,B,U,C,BUC,92012,46,4,253295110076_4,M76_B4_092012_WW_WW102_A8_BUC
4,B,B4,WL105,WL,neon yellow,B,U,C,BUC,92012,46,6,253295110076_6,M76_B6_092012_WL_WL105_B4_BUC
5,B,B5,EL104,EL,full blue,B,O,D,BOD,92012,46,7,253295110076_7,M76_B7_092012_EL_EL104_B5_BOD
5,B,B5,EL102,EL,full purple,B,O,D,BOD,92012,46,8,253295110076_8,M76_B8_092012_EL_EL102_B5_BOD
